Taxa,Ccirc.year3.BC,Bcirc.year3.BC,CmL.year3.BC,DBI.year3.BC,CmNdN.year3.BC,TotCulms.year3.BC,Yld.year3.BC,HD1.days.year3,Selection.index,Pop
KMS099,-0.818855426528545,-0.414242116616858,96.5490183072371,0.59088716166359,0.179055961867596,-1.59711173316635,0.96286383029128,9.79278787795192,-21.6414864192721,Msi
KMS100,-1.05182547190518,-0.31522668638424,87.5991694160565,0.505121480529839,0.0523001003909037,-2.03565220923804,3.76608946245785,6.30088690926109,-20.6355377320866,Msi
KMS101,-1.42879868576904,0.993275431120196,91.4189760947141,0.28270660023918,0.364015121680538,-4.11190845625488,0.726939813780467,7.22036379307339,0.272138333070845,Msi
KMS102,-2.643190115113,0.00911997548883026,55.1522321371852,0.26491081861171,-0.254048141455556,-5.58405347668877,-5.37757280057031,1.39963819013194,3.17175855688482,Msi
KMS103,-2.63730025575206,-0.30688340699561,94.8999515672938,0.398034746455306,-1.22337163178003,-4.51165447578211,-4.96527389105374,2.10338396977482,4.55123870350894,Msi
KMS104,0.615174699375135,0.0581095605767736,123.081525372393,0.507677880609559,-0.133348675770331,-2.20841763857289,2.63964158900375,4.21218503940082,-10.056214417355,Msi
KMS105,-1.34774854037135,-0.173476460470638,88.707611806966,0.404009006413435,0.0494050319147723,-0.509375117925308,0.0523100448746671,4.56136726655336,-8.49391594565969,Msi
KMS107,0.177351276742401,0.330516821552073,79.4756945297026,0.503452787604843,0.51142708661752,-1.35180026396894,1.722155716981,2.59527838600778,-23.1251166048445,Msi
KMS108,-2.86344105236262,-0.25549157275706,84.2767713607368,0.250564017075197,-0.26542805152415,-2.49438157692033,-2.97054343263097,2.06712867417684,8.31337563979696,Msi
KMS109,-2.13382149394607,-0.734587076992041,81.0829216132475,0.402220936948879,0.948852511808362,-3.58084076962197,-2.98299958684118,-5.58633633323677,-5.09119989836282,Msi
KMS110,-1.72799770628087,-0.238806261165726,-15.5483380863761,0.383375051511803,-0.778813875823989,-0.450081057153567,-1.50461549604877,-5.88955741908215,-36.5719892741538,Msi
KMS111,-1.25718521415724,0.566798936001844,29.6426681203892,0.613109457725112,-0.232274008031235,-1.53531620339401,1.10132623214024,21.4870205079342,-38.973403071004,Msi
KMS112,-0.906737506240667,-0.0640172219472522,85.0147562979062,0.354739236499374,-1.18350907880641,-0.364180555833314,-2.07483062922918,-25.1059381257432,-2.94735584328529,Msi
KMS113,-1.75865497364329,-1.4799962260617,-82.5757721821658,0.195867334336938,-0.56254435481238,-3.00632484450247,-4.20678293789039,4.58438294949432,-38.160935289828,Msi
KMS115,0.253697910930667,-0.158359456288892,52.7636409615719,0.462480714254977,-0.402183706570507,-1.23792550360006,0.460593554574533,-2.66143657075283,-21.193796010632,Msi
KMS116,-0.776147411676247,0.52097630198939,66.5785032087422,0.436572340375079,-0.265761106592168,0.390247081659268,1.87176507714092,11.1765982670811,-21.4625468059181,Msi
KMS117,-1.33416567684678,-1.02530771250069,55.9242407681283,0.461004227098564,0.412402727748965,-2.39095511685104,-1.9012845788854,-3.8399027536433,-19.3155306437661,Msi
KMS118,-2.82097182350423,-1.80276505195858,109.624413760622,0.325261136337533,-0.904454060453424,-5.17946690581178,-5.79746234613509,-13.76739942143,17.0571108141226,Msi
KMS119,-1.58472548103504,-0.360345509127833,78.6053328343869,0.601013291233407,-0.847722349792772,-3.23034101145342,-1.87516491819773,-8.75723035540866,-21.1414642751989,Msi
KMS120,-0.0679479304056669,1.49413770029322,5.92475923164702,-0.0321072420582329,-0.23799163274454,1.98691150783231,-1.69992103641175,-19.4061801004362,-3.01349042481842,Msi
KMS121,-2.96118679935625,0.118416172420812,36.5761219763113,0.310682132846414,-0.32555110392943,-1.00044538991945,-3.38734059262094,-10.9645451172596,-10.5146044890261,Msi
KMS123,-3.2239860420963,-0.529890897395766,58.3656376575804,0.28026237084096,-1.1756413050279,-2.81391829338898,-5.13055583445552,-9.44354555900531,1.1913377099227,Msi
KMS124,2.06424895295293,1.60056229139714,127.570286876441,0.476845235172305,-0.002280468555299,1.6004439536118,-0.85391277635275,-2.38794331931371,-3.95492299743839,Msi
KMS125,-1.33847100448911,0.688869862179481,-4.49229889543836,0.210628652478449,-0.619538742165663,0.671528513646356,1.13897253505102,-7.84656466347087,-25.3516577043126,Msi
KMS126,-3.52360163683675,0.274956735707516,-25.6727287299886,0.344220628157002,-0.522642041270408,-3.45599487053464,-3.82925781831351,1.38414987281799,-30.2439390641706,Msi
KMS127,-0.502444855758956,1.02300148313147,26.3567242395004,0.287213281724674,-0.846586495063182,1.61295135204846,-0.321442174836256,8.87485427940397,-20.1228295177097,Msi
KMS128,-0.883924366807213,0.38962966329066,79.2311483478439,0.5099400949988,-1.04537601848035,0.0431150185522872,0.968575249312277,5.15527834197413,-20.5983137520404,Msi
KMS129,-2.1408733679743,-1.14744510127796,-45.8460395728885,0.232084602060252,-0.979551430396755,-4.6437558922944,-5.09464598551706,-6.00696288320579,-28.114559732881,Msi
KMS130,-0.660039022571971,-0.723808272198934,53.4224793004775,0.276340912357546,-0.974054195951133,-0.943326096347135,-1.69464384014212,-13.6583448169095,-8.15897343286221,Msi
KMS131,-2.1435973344362,-1.34187870075276,-30.0348130080062,0.210779700926736,-1.23061959795634,-2.35420494335633,-2.53612927002669,-2.05642935262299,-24.0177984101883,Msi
KMS132,-2.57325210471233,-0.771379149869961,58.291790513607,0.53457179601332,0.306060772041141,-2.53967508107671,-1.99159531300404,1.27837667372243,-23.0181714632972,Msi
KMS133,-0.483225143462625,0.472764611695991,48.0408290829871,0.396953739900767,-0.291385042392934,-2.52154753071384,-3.94387708090136,-8.04249952536574,-20.2046924765495,Msi
KMS134,-1.78866423437392,-0.0899123001143366,17.2918347478793,0.237329590755136,-1.98855061393553,-0.298277525502687,-0.90369487801973,-21.365311588015,-15.7834330573642,Msi
KMS135,-1.84231546542313,-1.21076871395197,35.3204329377178,0.366110057672276,-1.22111299409432,-1.26877415409401,-4.50018287971287,-3.66255802004822,-13.7538319848827,Msi
KMS136,-1.45742821943105,-0.301949602791964,17.2626977279508,0.243510171234726,-1.06591771580744,-1.18647446515991,-2.51719448558941,-17.5174527854011,-14.3781922752977,Msi
KMS137,0.169286486411593,1.36700768601279,34.8723420418226,0.577990840753973,-0.646166245996562,2.08709964869501,-0.306909591695108,8.06936600219468,-38.8599275546812,Msi
KMS138,-2.78718316012865,-1.02123879090019,17.8045763871492,0.401456695235154,-2.1649625178814,-1.60121040017712,-2.07135214003215,-25.7262460365107,-23.2239415520667,Msi
KMS139,-0.988147389363529,-0.50870509205053,17.5193330428913,0.459467937937055,-1.42661644010506,-3.41993430421979,-1.0709946725115,-12.2451238595899,-31.0048595781858,Msi
KMS140,-2.07512977599885,-0.75874343636843,117.28351559348,0.540873074136373,0.100562283291021,-3.32234553088032,-3.00707298514383,2.98554505573956,-3.72721466561272,Msi
KMS141,-2.36385125438767,-0.0546839765809301,-19.4190311836883,-0.0637698858180983,-1.36113732134319,-1.22983952956901,-2.9728724404633,-6.85116461814054,-2.70225509766146,Msi
KMS142,1.22657807287748,0.239128502241549,70.7828542733691,0.0735570198081505,0.399122670729506,-1.34177865953669,1.10160606809663,-15.7136987314388,3.27909104444762,Msi
KMS143,-1.72878077375919,1.32597352167094,118.094604023227,0.534993701138926,-0.261291240644154,0.526061375852581,-0.217404197782415,-1.09497560764855,-8.89037782240548,Msi
KMS144,-0.942121795287577,-0.254289961656244,-41.2759810937219,0.22166024755859,-1.02622139449498,-0.565518123565868,-5.1317255645704,-6.29148251994687,-28.3466460468538,Msi
KMS145.6,-1.2234163882257,-0.149018893713904,1.94506962947582,0.325380443601101,-0.0989356801485369,-1.96803937868718,-0.399043733425558,-4.43249553429623,-27.6455891063157,Msi
KMS147,-3.25609212764232,-0.879553572205062,15.1121128156794,0.243713341059544,-0.725171949753233,-2.59685417696201,-6.77585169077353,-30.3063213611208,-6.650344897917,Msi
KMS148.9,0.272428148299272,-0.10423237816169,50.8728623169391,0.364784390183283,-0.811717038755249,-1.47463551526694,-1.06447319722841,-15.9270891058319,-16.9259846209164,Msi
KMS150,-2.28658291663331,-1.95162587218389,-30.2272296862801,0.221234581058385,-0.703976176699933,-3.33953461234719,-5.46189988984331,-1.02340204989186,-20.7696273681404,Msi
KMS151,-2.57303923059919,-1.09622346029707,125.24377732003,0.803097416895465,-0.77220980465387,-5.44702276531172,-3.57070121244416,6.76549421060726,-16.7614518768476,Msi
KMS152,0.583384985718259,0.0747471824649013,92.7119872759502,0.10198991816753,-1.00475059802737,0.312970511481656,0.889415541124111,-15.5583055097859,9.28591157647967,Msi
KMS153,0.722598927746993,0.637498931809204,178.938468129831,0.148739236973396,-0.19608580875698,0.350205675842982,2.35123472724744,-23.69151472391,32.0191874867246,Msi
KMS154,-2.29692377058184,-1.70770840171199,84.5300720008879,0.481978522537527,-0.299412043180209,-3.20850745540039,-3.49603078981793,0.659629536458741,-6.22819099376049,Msi
KMS155,-0.874573258352618,0.102132144420836,81.7949027030355,0.444167036086588,-0.56069817527511,0.522692643730122,1.74279537284906,-10.7517471402336,-16.5708256795817,Msi
KMS156,0.681530394956218,1.35585551020652,-43.3964837492151,0.0850676235908903,-0.489675155889211,2.34096363017434,0.162973648060611,-16.6252410127454,-29.7542178446865,Msi
KMS158,-1.88229513593096,0.563410156295611,16.7033612155466,0.598259343786662,-0.599937015696449,-2.29054860024309,-0.3992389783976,-16.1060847170994,-42.1639356809046,Msi
KMS159,-2.75342134649435,-1.27307997588161,-46.6800588159098,0.181006354476892,-2.00174346808508,-2.49043709576702,-6.36624731192386,-15.0599153150477,-21.1871445126718,Msi
KMS160.1,0.0769278389173161,1.14009355910571,138.880469122815,0.718426265954096,0.00934891777573594,-1.83204496445664,0.518092820753134,4.2248631529555,-17.0860316124407,Msi
KMS162,-0.182413495924889,0.167002910333324,164.546777902605,0.454476468487034,-0.418112110557012,0.828733015406893,-0.439466894328292,-2.16306330698412,9.10616270156767,Msi
KMS163,-1.62353255840779,-0.215983938766359,149.883456415229,0.569713764471617,-0.731045910160404,-3.76778595622279,-2.56257854930075,-4.96405915440192,3.95454692236994,Msi
KMS164,-1.63166523020059,-0.264923306557218,84.1808472306769,0.354318458273716,-0.858916791613644,-0.379026907029269,-3.31257917981876,-12.7159691165225,-0.753724164700361,Msi
KMS165,-2.26197863982493,-1.96981949223154,102.461802602222,0.681003711472042,0.604933336191007,-5.27345837086419,-5.15210477290889,2.50404359240455,-12.9808838250923,Msi
KMS166,-2.13994507114107,-0.236851956056378,18.445085519727,0.465804252913171,-0.509240342715568,-1.25534346474074,-1.51165393215047,-10.2221677561248,-31.3080987493054,Msi
KMS167,-1.77280453441598,-1.36603775432564,133.104769056811,0.493550794410539,0.199751610942539,-3.43989827082996,-2.37256121052777,5.48671368576947,4.17223835691829,Msi
KMS168,-2.10721980980881,-0.418524559579289,109.331006446612,0.466023596941756,-0.548330565751664,-3.29648728577604,-2.153428436452,-9.09553661736021,-1.25091150286225,Msi
KMS169,-2.17397120261899,0.134874471122213,17.5868458958909,0.518726697899972,-0.122639470898291,-2.89513304901762,-3.43471569007956,-13.7917571897716,-31.6288466860527,Msi
KMS170,-2.66589898357004,-0.947339727801382,79.2138679670154,0.291995157920682,0.165990923456577,-3.220448571149,-3.49839718938661,-8.73913069172093,3.72985515407864,Msi
KMS171.2,-2.03609040558075,-1.65277621338317,142.794568109621,0.539911597420721,0.00911207431871388,-3.71853514189335,-3.65778998839527,-4.68928119011953,3.3790947554128,Msi
KMS174,0.626467410297949,2.39422819201467,-0.765533209334828,0.665100894976843,-1.38515353514051,-0.296828328818079,2.0819819989272,7.28065328560472,-59.6063336329804,Msi
KMS175,-0.945475606351909,-0.9187134841188,95.2975096844956,0.781707265802889,-0.725140257648979,-5.07981868382844,-3.86548726997511,0.80144383577243,-25.289113019972,Msi
KMS176,-1.34578831839078,-0.302277493302703,51.1036228654097,0.502458478182609,-0.317639905048401,-2.53202370590629,-2.82072158390505,-0.342730022426662,-25.2758824290517,Msi
KMS177,-2.58289045843706,2.09576727374903,25.1656716015328,0.316779637985153,-1.51407150746691,0.142821659175451,-4.35581806282464,-0.753876537143747,-13.7118733445812,Msi
KMS201,-1.00864620772909,-1.18405351472704,-20.3996643076366,0.202086397007744,-1.77994110113496,-2.16800309804323,-3.78658189688025,8.25703188033122,-19.67870904573,Msi
KMS203,-3.07170405183978,-2.9759900436601,-44.1485200284032,0.196967823049613,-1.17695055143524,-4.84300414231851,-7.37161571446893,-6.07442056339552,-20.4122843855471,Msi
KMS204,-1.46774112643448,-0.730021025406937,-40.7996855508314,0.310740103607634,-0.92611657368366,-1.03159173027323,-3.60187984730508,-2.43287921183486,-36.4697052866227,Msi
KMS205,-2.10841184554957,-0.756362706542195,16.785751971341,0.371071664436941,-0.842145466728864,-2.81822146908703,-2.5732441350759,-6.68967430088216,-22.6519334349142,Msi
KMS206,-3.88088375981676,-0.261988206493103,56.3440113027736,0.434394668467833,-0.820284419030394,-3.63401182258839,-6.99265625017878,-18.2909595074587,-6.42195828573665,Msi
KMS207.8,-4.35324509164627,-1.8037979441948,63.7247417331932,0.399988564124096,-1.440969340801,-4.31457743879073,-4.5477935881017,-7.30028382820652,-3.32026889475771,Msi
KMS209.10,-3.20419716106232,-1.24380956233803,81.6432542661513,0.451502011142959,-1.6978967827873,-4.33759894293571,-8.84305877751716,-17.4054350430271,2.9890965524859,Msi
KMS211.3,-1.58642712017775,0.315228129365403,59.8862646544364,0.403532602231824,-0.498147124541216,-0.617772688631156,0.0282619877869002,-0.516051106521344,-15.9814895862143,Msi
KMS215,-1.29932674543392,1.15626828903457,139.565096224748,0.604948461483808,0.807874905240658,-1.40616437769344,5.86567816198461,-7.74938945016587,-14.4772374486137,Msi
KMS216.21,-1.2194777345783,-0.692161457088394,98.3551672144822,0.638461271299458,1.12315700708807,-2.57124120722372,2.36364189160932,12.2289504788876,-25.1275824257917,Msi
KMS223.6,-0.706764622391832,0.337965900011001,138.530514702775,0.695668489123215,0.263310831399559,-2.61404689459546,1.3562427310916,2.92440075210102,-16.1144632463825,Msi
KMS227.30,0.300412803932248,1.37924238160511,46.7704426089622,0.257634654627028,0.0106534847420692,0.794722123903185,2.23814938143146,0.385163969941365,-16.7004568110805,Msi
KMS231,-3.14638834467422,-0.603724869507224,-35.1575169169251,0.35367696799265,-1.68057640113211,-4.7430306862251,-5.83438036003303,-1.92897109177087,-28.3966097676478,Msi
