"","Ccirc.year3.BC","Bcirc.year3.BC","CmL.year3.BC","DBI.year3.BC","CmNdN.year3.BC","TotCulms.year3.BC","Yld.year3.BC","HD1.days.year3","Selection.index"
"10UI-009-M015B",-0.289697095569884,-0.562153196688071,-30.8012619038535,0.0968686130020409,1.10047857145904,1.22876187536061,1.27154215310831,20.9999999912484,0.608379834405254
"10UI-009-M016A",-0.593662904811859,0.49831317043806,108.576093359944,0.481787860695916,0.453216667423113,2.51653709137283,2.84525870695348,-12.2500000087516,3.93540064015584
"10UI-009-M017A",-2.16091655007273,-1.13601842552257,-89.5296689166599,-0.191971808740762,-1.74649421717646,-1.92583855960033,-8.10593443906007,-11.7701670799104,-7.14826125671248
"10UI-009-M019A",-0.585844417949892,1.60736729641508,47.6535506811228,0.129477927509884,0.673131037347021,2.45708418037888,4.01996626215058,-1.75000000875138,4.10691535567509
"10UI-009-M020A",-2.0090169068876,-0.913004960400746,-15.1641412660106,0.110675850991401,0.00465162229107625,-0.564086640421829,-4.85038211055606,10.4999999912486,-3.59305573794349
"10UI-009-M021A",-2.59146316776582,-1.53624977848028,-213.208426184617,-0.464900683750717,-0.336475993310782,-2.91951349037448,-10.5420854762355,1.74999999124816,-10.1669550507853
"10UI-009-M021B",-0.138269642625066,1.07025830505901,-0.553661564727792,0.127472018022789,-0.112544217794105,0.243456234349946,1.70958811664775,-5.25000000875147,2.01328920788756
"10UI-009-M022A",-0.432390629372899,-0.489167095207933,-128.133536188712,-0.00732942766223163,-0.578945301437095,-1.49682753484927,-2.29045640565284,-3.50000000875149,-2.57817262480263
"10UI-009-M022B",-2.53551909439909,-1.6362784578808,-138.477823896637,-0.21058890930907,0.33136920695544,-1.33499924928908,-8.13995606928873,9.48729716847478,-7.58706444980838
"10UI-009-M024A",-2.60616806386354,-1.7106485301595,-89.3994375348321,-0.530327757406091,-0.802582796410923,-1.5120386223133,-10.3844558192149,-8.7500000087513,-9.68761254695307
"10UI-009-M025A",-0.389114344400331,-0.0825970519995388,-39.2945292675312,0.0757664610110446,-1.4100716394535,-0.271802493250178,-0.626744460187135,12.9999999912483,-0.6720151410009
"10UI-009-M025B",-4.19951206450598,-5.12076897286443,-272.943039235953,-0.573664310843313,1.18452356753588,-6.37574126915356,-16.068833456956,48.9440612856019,-16.9324740398387
"10UI-009-M026A",-2.84551322570182,-1.16590817354795,-80.2242074823254,-0.111591065408045,-0.00995944523229131,-3.53530649166656,-8.89101154436007,-4.60045874135799,-7.35660960676478
"10UI-009-M026B",-1.97502150008851,-2.89578950278181,8.98853509197918,0.0709700067159059,0.673131037347021,-3.52847530321112,-7.38680215756802,-12.2500000087514,-6.45994001135241
"10UI-009-M027A",-2.16112265017402,-1.78981213422043,85.5471237644955,0.334170052436611,0.571000557341891,-3.37367051012947,-3.93276221376062,14.7499999912484,-2.03913436934503
"10UI-009-M029A",-1.31206651356219,-0.679325102584661,-131.100096368952,-0.237614646780797,-0.568191116240556,4.45129561366519,-3.01700799476965,5.24999999124847,-3.54070987993108
"10UI-009-M031A",-0.244064088688075,1.67620057955538,-50.2876431762114,0.0151735349183347,0.338697384578523,5.25268450314375,1.9868057196988,10.4999999912485,2.36814592958708
